<= 2025-04-23 11:27:00 - Trade c5f5Xjal fermé (STRAT hit à 1.14286), Dernier TP : N/A, profit 42.7
=> 2025-04-23 11:27:00 - SELL trade ouvert (hW2ArTUV)- entrée : 1.14277, TP : N/A, SL : N/A
<= 2025-04-23 11:30:00 - Trade hW2ArTUV fermé (STRAT hit à 1.14338), Dernier TP : N/A, profit -6.1
=> 2025-04-23 11:30:00 - BUY trade ouvert (nKY2br4v)- entrée : 1.14344, TP : N/A, SL : N/A
<= 2025-04-23 11:40:00 - Trade nKY2br4v fermé (STRAT hit à 1.14329), Dernier TP : N/A, profit -1.5
=> 2025-04-23 11:40:00 - SELL trade ouvert (N1OsKBjE)- entrée : 1.14323, TP : N/A, SL : N/A
<= 2025-04-23 12:36:00 - Trade N1OsKBjE fermé (STRAT hit à 1.14032), Dernier TP : N/A, profit 29.1
=> 2025-04-23 12:36:00 - BUY trade ouvert (2Puw2mBJ)- entrée : 1.14038, TP : N/A, SL : N/A
<= 2025-04-23 12:53:00 - Trade 2Puw2mBJ fermé (STRAT hit à 1.14018), Dernier TP : N/A, profit -2.0
=> 2025-04-23 12:53:00 - SELL trade ouvert (aQ6MHbNw)- entrée : 1.14012, TP : N/A, SL : N/A
<= 2025-04-23 13:02:00 - Trade aQ6MHbNw fermé (STRAT hit à 1.14036), Dernier TP : N/A, profit -2.4
=> 2025-04-23 13:02:00 - BUY trade ouvert (gpfOwCKE)- entrée : 1.14042, TP : N/A, SL : N/A
<= 2025-04-23 13:04:00 - Trade gpfOwCKE fermé (STRAT hit à 1.14020), Dernier TP : N/A, profit -2.2
=> 2025-04-23 13:15:00 - BUY trade ouvert (D5tOEwhN)- entrée : 1.14002, TP : N/A, SL : N/A
<= 2025-04-23 13:24:00 - Trade D5tOEwhN fermé (STRAT hit à 1.13983), Dernier TP : N/A, profit -1.9
=> 2025-04-23 13:54:00 - SELL trade ouvert (dqa7FRtT)- entrée : 1.14076, TP : N/A, SL : N/A
<= 2025-04-23 13:59:00 - Trade dqa7FRtT fermé (STRAT hit à 1.14105), Dernier TP : N/A, profit -2.9
=> 2025-04-23 14:10:00 - SELL trade ouvert (VH0Xm0fu)- entrée : 1.14089, TP : N/A, SL : N/A
<= 2025-04-23 14:31:00 - Trade VH0Xm0fu fermé (STRAT hit à 1.14078), Dernier TP : N/A, profit 1.1
=> 2025-04-23 14:31:00 - BUY trade ouvert (dz91ScZA)- entrée : 1.14084, TP : N/A, SL : N/A
<= 2025-04-23 14:32:00 - Trade dz91ScZA fermé (STRAT hit à 1.14052), Dernier TP : N/A, profit -3.2
