timestamp,direction,entry_price,exit_price,lot_size,result,balance
2025-04-11 01:34:00,SELL,1.12328,1.12323,11.705349041644828,0.0058526745208347655,50000.00585267452
2025-04-11 06:18:00,BUY,1.13202,1.13187,13.033677836678265,-0.019550516755029716,49999.98630215776
2025-04-11 09:00:00,SELL,1.12872,1.1297,9.487895394516677,-499.99986302157765,49499.986439136184
2025-04-11 12:00:00,BUY,1.13675,1.13599,5.752160887344514,-0.043716422743810934,49499.942722713444
2025-04-11 14:51:00,SELL,1.13879,1.1388,5.892884222364052,-0.0005892884222402657,49499.94213342502
2025-04-11 15:38:00,BUY,1.13613,1.13434,5.925610302156961,-494.99942133425026,49004.94271209077
2025-04-11 19:07:00,SELL,1.13135,1.13145,12.506825151757383,-0.012506825151756005,49004.93020526562
2025-04-11 19:57:00,BUY,1.12876,1.12857,9.296254916392868,-0.017662884341138312,49004.91254238128
2025-04-11 21:08:00,SELL,1.13254,1.13239,11.806998311248531,0.017710497466883954,49004.930252878745
2025-04-13 22:00:00,BUY,1.13012,1.13015,6.2701152090318155,0.001881034562707945,49004.93213391331
